BW08047,Bonus gGmbH
BW08052,Sabine Horn
BW08053,Ziegenhof Hohenkarpfen 
BW08055,Gerd Lanz
BW75100,Produktionsküche Manfred Frick
BY102,Käserei Hofmeister 
BY103,Staatliche Molkerei Weihenstephan GmbH & Co. KG
BY104,Neuburger Milchwerke GmbH & Co KG 
BY106,Milchwerk Jäger GmbH & Co. KG
BY108,Grünland Allgäuer Käsewerk GmbH Werk Salmanskirchen
BY110,Milchwerk Berchtesgadener Land Chiemgau eG 
BY111,Molkerei MEGGLE Wasserburg GmbH & Co. KG
BY112,J. Bauer GmbH & Co. KG
BY113,Wendelstein Käsewerk GmbH & Co.Molkerei KG 
BY114,Alpenhain Käsespezialitäten-Werk GmbH & Co KG 
BY117,Andechser Molkerei Scheitz GmbH
BY119,Danone GmbH Werk Rosenheim 
BY123,Hochland Deutschland GmbH - Werk Schongau
BY125,Milchwerke Ingolstadt-Thalmässing 
BY129,Käsewerk Hofmeister GmbH & Co. KG 
BY130,Stegmann Emmentaler Käsereien GmbH Werk Reichertshausen
BY131,Rovita GmbH
BY132,Bergader Privatkäserei GmbH & Co. KG 
BY133,Bayerische Milchindustrie eG Werk Peiting 
BY134,A. Saumweber GmbH
BY136,Frischpack GmbH & Co. KG - Der Abpackspezialist für Käse
BY140,Kugler Feinkost GmbH
BY141,Dorfkäserei Hubert Stadler
BY142,F.I.A. GmbH
BY143,Käserei Lerchenmüller Inntaler Ziegen- und Schafmilchprodukte GmbH 
BY144,Alpenhain Verwaltungs GmbH
BY145,Palatum Feinkost e.K. 
BY146,Schönegger Käse-Alm Sennerei Sulzberg GmbH 
BY147,BIOONDA Walter Lutz e. K.
BY148,Anderlbauer e.K.
BY149,Schönegger Käse-Alm Sennerei Sulzberg GmbH 
BY150,Hochwald Nahrungsmittel-Werke GmbH
BY151,Ludwig Keilhacker
BY152,Naturkäserei Tegernseer Land eG
BY154,Schaukäserei Ammergauer Alpen eG
BY155,MVS - Milchvermarktungs-GmbH in Südbayern
BY156,Helmut Posch GmbH
BY157,Klaus Gschwendter
BY210,Goldsteig Käsereien Bayerwald Cham-Plattling GmbH Betrieb Plattling
BY221,Naturkost Schatzlhof
BY222,Lebensgemeinschaft Höhenberg e.V. 
BY250,Hofmeister Käsewerk GmbH & Co. KG 
BY251,Bayerische Milchindustrie eG
BY261,Goldsteig Käsereien Bayerwald GmbH Betrieb Tittling
BY263,Berglandmilch reg. Gen. m.b.H. 
BY265,Käsewerk Roiner GmbH & Co. KG
BY266,Bayerische Milchindustrie eG Werk Winzer
BY270,frischli Milchwerk GmbH & Co.Huber OHG
BY271,J. Bauer GmbH & Co. KG
BY301,Goldsteig Käsereien Bayerwald GmbH Betrieb Cham
BY303,Naabtaler Milchwerke Milchwerke Bechtel oHG Betrieb Schwarzenfeld
BY304,Milchhof Tirschenreuth eG
BY305,Bayernland eG - Käserei Amberg 
BY306,Bayernland eG - Betrieb Regensburg
BY307,Naabtaler Milchwerke Bechtel oHG Betrieb Weiden 
BY308,Bayernland e.G. - Betrieb Kemnath 
BY309,Lactoprot Deutschland GmbH Werk Regensburg
BY311,Tews GmbH 
BY401,Milchhof Adam Albert
BY402,Bayernland eG
BY403,Milchwerk Oberfranken-West eG
BY409,Bayerische Milchindustrie e.G. Niederlassung Zapfendorf - Trocknungswerk
BY410,Bayerische Milchindustrie e.G. 
BY411,Bayerische Milchindustrie e.G. Niederlassung Zapfendorf - Molkerei 
BY413,Ziegenhof Würnsreuth Kerstin und Robert Knöbel
BY414,Roland Stähr OT Unterstürmig
BY512,Lehrmolkerei Triesdorf
BY514,Bezirksmolkerei Ansbach eG
BY516,Bayerische Milchindustrie eG
BY531,Bayernland - Emmentaler - Käserei 
BY541,ALBFLOR Milchwerke GmbH
BY544,Nestlé Schöller Produktions GmbH
BY545,Bayernland eG
BY553,Bayerische Milchindustrie e.G. Landshut Werk Langenfeld
BY554,Leonhard Seitz
BY555,Familie Ströbel 
BY561,Milchwerke Ingolstadt-Thalmässing eG Zweigbetrieb Thalmässing 
BY562,Milchgroßhandel GmbH
BY563,NUTRICHEM Diät + Pharma GmbH
BY601,Gervais Danone AG
BY602,Milchwerke Mainfranken eG
