+1 XXX,USA und deren Gebiete
+870,Inmarsat Single Number Access (SNAC)
+875,reserviert für maritime Mobiltelefonie
+876,reserviert für maritime Mobiltelefonie
+877,reserviert für maritime Mobiltelefonie
+878,Persönliche Rufnummern (Universal Personal Telecommunication (UPT) services)
+878 10,VISIONng ENUM
+879,reserviert für nationale mobile beziehungsweise maritime Aufgaben
+880,Bangladesch
+881,Globales mobiles Satellitensystem
+882,Internationale Netzwerke
+883,Internationale Netzwerke (iNum)
+884,nicht vergeben
+885,nicht vergeben
+886,Taiwan
+887,nicht vergeben
+888,nicht vergeben
+889,nicht vergeben
+89x,nicht vergeben
+90,Türkei - Türkische Republik Nordzypern
+91,Indien
+92,Pakistan
+93,Afghanistan
+94,Sri Lanka
+95,Myanmar
+960,Malediven
+961,Libanon
+962,Jordanien
+963,Syrien
+964,Irak
+965,Kuwait
+966,Saudi-Arabien
+967,Jemen
+968,Oman
+969,nicht vergeben - früher Demokratische Republik Jemen - nun mit unter +967
+970,Palästinensische Autonomiegebiete
+971,Vereinigte Arabische Emirate
+972,Israel
+973,Bahrain
+974,Katar
+975,Bhutan
+976,Mongolei
+977,Nepal
+978,nicht vergeben
+979,Internationale Premium-Rate-Dienste
+98,Iran
+990,nicht vergeben
+991,International Telecommunications Public Correspondence Service Trials (ITPCS)
+992,Tadschikistan
+993,Turkmenistan
+994,Aserbaidschan
+995,Georgien (ohne Abchasien)
+996,Kirgisistan
+997,nicht vergeben
+998,Usbekistan
+999,reserviert für eine mögliche Verwendung innerhalb der Katastrophenhilfe (Telecommunications for Disaster Relief - TDR)
